Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Beltinci;3 sobe;4 osebe;121
Beltinci;3 sobe;5 oseb;59
Beltinci;3 sobe;6 oseb;31
Beltinci;3 sobe;7 oseb ali veè;19
Beltinci;4 sobe;Število oseb -SKUPAJ;621
Beltinci;4 sobe;1 oseba;56
Beltinci;4 sobe;2 osebi;126
Beltinci;4 sobe;3 osebe;157
Beltinci;4 sobe;4 osebe;149
Beltinci;4 sobe;5 oseb;67
Beltinci;4 sobe;6 oseb;46
Beltinci;4 sobe;7 oseb ali veè;20
Beltinci;5 sob ali veè;Število oseb -SKUPAJ;714
Beltinci;5 sob ali veè;1 oseba;55
Beltinci;5 sob ali veè;2 osebi;85
Beltinci;5 sob ali veè;3 osebe;132
Beltinci;5 sob ali veè;4 osebe;145
Beltinci;5 sob ali veè;5 oseb;146
Beltinci;5 sob ali veè;6 oseb;97
Beltinci;5 sob ali veè;7 oseb ali veè;54
Benedikt;Število sob - SKUPAJ;Število oseb -SKUPAJ;731
Benedikt;Število sob - SKUPAJ;1 oseba;127
Benedikt;Število sob - SKUPAJ;2 osebi;148
Benedikt;Število sob - SKUPAJ;3 osebe;137
Benedikt;Število sob - SKUPAJ;4 osebe;152
Benedikt;Število sob - SKUPAJ;5 oseb;74
Benedikt;Število sob - SKUPAJ;6 oseb;44
Benedikt;Število sob - SKUPAJ;7 oseb ali veè;49
Benedikt;1 soba;Število oseb -SKUPAJ;19
Benedikt;1 soba;1 oseba;6
Benedikt;1 soba;2 osebi;4
Benedikt;1 soba;3 osebe;5
Benedikt;1 soba;4 osebe;2
Benedikt;1 soba;5 oseb;1
Benedikt;1 soba;6 oseb;1
Benedikt;1 soba;7 oseb ali veè;0
Benedikt;2 sobi;Število oseb -SKUPAJ;165
Benedikt;2 sobi;1 oseba;49
Benedikt;2 sobi;2 osebi;49
Benedikt;2 sobi;3 osebe;26
Benedikt;2 sobi;4 osebe;20
Benedikt;2 sobi;5 oseb;11
Benedikt;2 sobi;6 oseb;2
Benedikt;2 sobi;7 oseb ali veè;8
Benedikt;3 sobe;Število oseb -SKUPAJ;257
Benedikt;3 sobe;1 oseba;40
Benedikt;3 sobe;2 osebi;53
Benedikt;3 sobe;3 osebe;51
Benedikt;3 sobe;4 osebe;62
