Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Ormož;4 sobe;5 oseb;78
Ormož;4 sobe;6 oseb;65
Ormož;4 sobe;7 oseb ali veè;40
Ormož;5 sob ali veè;Število oseb -SKUPAJ;725
Ormož;5 sob ali veè;1 oseba;50
Ormož;5 sob ali veè;2 osebi;102
Ormož;5 sob ali veè;3 osebe;136
Ormož;5 sob ali veè;4 osebe;157
Ormož;5 sob ali veè;5 oseb;136
Ormož;5 sob ali veè;6 oseb;82
Ormož;5 sob ali veè;7 oseb ali veè;62
Osilnica;Število sob - SKUPAJ;Število oseb -SKUPAJ;137
Osilnica;Število sob - SKUPAJ;1 oseba;44
Osilnica;Število sob - SKUPAJ;2 osebi;35
Osilnica;Število sob - SKUPAJ;3 osebe;28
Osilnica;Število sob - SKUPAJ;4 osebe;9
Osilnica;Število sob - SKUPAJ;5 oseb;10
Osilnica;Število sob - SKUPAJ;6 oseb;2
Osilnica;Število sob - SKUPAJ;7 oseb ali veè;9
Osilnica;1 soba;Število oseb -SKUPAJ;8
Osilnica;1 soba;1 oseba;7
Osilnica;1 soba;2 osebi;0
Osilnica;1 soba;3 osebe;0
Osilnica;1 soba;4 osebe;1
Osilnica;1 soba;5 oseb;0
Osilnica;1 soba;6 oseb;0
Osilnica;1 soba;7 oseb ali veè;0
Osilnica;2 sobi;Število oseb -SKUPAJ;45
Osilnica;2 sobi;1 oseba;16
Osilnica;2 sobi;2 osebi;15
Osilnica;2 sobi;3 osebe;10
Osilnica;2 sobi;4 osebe;1
Osilnica;2 sobi;5 oseb;1
Osilnica;2 sobi;6 oseb;1
Osilnica;2 sobi;7 oseb ali veè;1
Osilnica;3 sobe;Število oseb -SKUPAJ;38
Osilnica;3 sobe;1 oseba;12
Osilnica;3 sobe;2 osebi;10
Osilnica;3 sobe;3 osebe;9
Osilnica;3 sobe;4 osebe;3
Osilnica;3 sobe;5 oseb;1
Osilnica;3 sobe;6 oseb;0
Osilnica;3 sobe;7 oseb ali veè;3
Osilnica;4 sobe;Število oseb -SKUPAJ;24
Osilnica;4 sobe;1 oseba;6
Osilnica;4 sobe;2 osebi;6
Osilnica;4 sobe;3 osebe;4
Osilnica;4 sobe;4 osebe;1
Osilnica;4 sobe;5 oseb;5
Osilnica;4 sobe;6 oseb;0
Osilnica;4 sobe;7 oseb ali veè;2
Osilnica;5 sob ali veè;Število oseb -SKUPAJ;22
Osilnica;5 sob ali veè;1 oseba;3
Osilnica;5 sob ali veè;2 osebi;4
Osilnica;5 sob ali veè;3 osebe;5
Osilnica;5 sob ali veè;4 osebe;3
Osilnica;5 sob ali veè;5 oseb;3
Osilnica;5 sob ali veè;6 oseb;1
Osilnica;5 sob ali veè;7 oseb ali veè;3
Pesnica;Število sob - SKUPAJ;Število oseb -SKUPAJ;2197
Pesnica;Število sob - SKUPAJ;1 oseba;379
Pesnica;Število sob - SKUPAJ;2 osebi;485
Pesnica;Število sob - SKUPAJ;3 osebe;411
Pesnica;Število sob - SKUPAJ;4 osebe;402
Pesnica;Število sob - SKUPAJ;5 oseb;247
Pesnica;Število sob - SKUPAJ;6 oseb;136
Pesnica;Število sob - SKUPAJ;7 oseb ali veè;137
Pesnica;1 soba;Število oseb -SKUPAJ;119
Pesnica;1 soba;1 oseba;49
Pesnica;1 soba;2 osebi;31
Pesnica;1 soba;3 osebe;17
Pesnica;1 soba;4 osebe;11
Pesnica;1 soba;5 oseb;5
Pesnica;1 soba;6 oseb;3
Pesnica;1 soba;7 oseb ali veè;3
Pesnica;2 sobi;Število oseb -SKUPAJ;447
Pesnica;2 sobi;1 oseba;125
Pesnica;2 sobi;2 osebi;131
Pesnica;2 sobi;3 osebe;61
Pesnica;2 sobi;4 osebe;66
Pesnica;2 sobi;5 oseb;31
Pesnica;2 sobi;6 oseb;14
Pesnica;2 sobi;7 oseb ali veè;19
Pesnica;3 sobe;Število oseb -SKUPAJ;609
Pesnica;3 sobe;1 oseba;105
Pesnica;3 sobe;2 osebi;148
Pesnica;3 sobe;3 osebe;141
Pesnica;3 sobe;4 osebe;105
Pesnica;3 sobe;5 oseb;61
Pesnica;3 sobe;6 oseb;26
Pesnica;3 sobe;7 oseb ali veè;23
Pesnica;4 sobe;Število oseb -SKUPAJ;448
Pesnica;4 sobe;1 oseba;49
Pesnica;4 sobe;2 osebi;100
Pesnica;4 sobe;3 osebe;94
Pesnica;4 sobe;4 osebe;97
Pesnica;4 sobe;5 oseb;57
Pesnica;4 sobe;6 oseb;25
Pesnica;4 sobe;7 oseb ali veè;26
Pesnica;5 sob ali veè;Število oseb -SKUPAJ;574
Pesnica;5 sob ali veè;1 oseba;51
Pesnica;5 sob ali veè;2 osebi;75
Pesnica;5 sob ali veè;3 osebe;98
Pesnica;5 sob ali veè;4 osebe;123
Pesnica;5 sob ali veè;5 oseb;93
Pesnica;5 sob ali veè;6 oseb;68
Pesnica;5 sob ali veè;7 oseb ali veè;66
Piran/Pirano;Število sob - SKUPAJ;Število oseb -SKUPAJ;6584
Piran/Pirano;Število sob - SKUPAJ;1 oseba;2223
Piran/Pirano;Število sob - SKUPAJ;2 osebi;1555
Piran/Pirano;Število sob - SKUPAJ;3 osebe;1159
Piran/Pirano;Število sob - SKUPAJ;4 osebe;821
Piran/Pirano;Število sob - SKUPAJ;5 oseb;381
Piran/Pirano;Število sob - SKUPAJ;6 oseb;215
Piran/Pirano;Število sob - SKUPAJ;7 oseb ali veè;230
Piran/Pirano;1 soba;Število oseb -SKUPAJ;1022
Piran/Pirano;1 soba;1 oseba;534
Piran/Pirano;1 soba;2 osebi;235
Piran/Pirano;1 soba;3 osebe;132
Piran/Pirano;1 soba;4 osebe;72
Piran/Pirano;1 soba;5 oseb;29
Piran/Pirano;1 soba;6 oseb;11
Piran/Pirano;1 soba;7 oseb ali veè;9
Piran/Pirano;2 sobi;Število oseb -SKUPAJ;1712
Piran/Pirano;2 sobi;1 oseba;717
Piran/Pirano;2 sobi;2 osebi;403
Piran/Pirano;2 sobi;3 osebe;285
Piran/Pirano;2 sobi;4 osebe;174
Piran/Pirano;2 sobi;5 oseb;67
Piran/Pirano;2 sobi;6 oseb;26
Piran/Pirano;2 sobi;7 oseb ali veè;40
Piran/Pirano;3 sobe;Število oseb -SKUPAJ;1913
Piran/Pirano;3 sobe;1 oseba;539
Piran/Pirano;3 sobe;2 osebi;517
Piran/Pirano;3 sobe;3 osebe;382
Piran/Pirano;3 sobe;4 osebe;261
Piran/Pirano;3 sobe;5 oseb;107
Piran/Pirano;3 sobe;6 oseb;62
Piran/Pirano;3 sobe;7 oseb ali veè;45
Piran/Pirano;4 sobe;Število oseb -SKUPAJ;987
Piran/Pirano;4 sobe;1 oseba;238
Piran/Pirano;4 sobe;2 osebi;226
Piran/Pirano;4 sobe;3 osebe;210
Piran/Pirano;4 sobe;4 osebe;160
Piran/Pirano;4 sobe;5 oseb;72
Piran/Pirano;4 sobe;6 oseb;38
Piran/Pirano;4 sobe;7 oseb ali veè;43
Piran/Pirano;5 sob ali veè;Število oseb -SKUPAJ;950
Piran/Pirano;5 sob ali veè;1 oseba;195
Piran/Pirano;5 sob ali veè;2 osebi;174
Piran/Pirano;5 sob ali veè;3 osebe;150
Piran/Pirano;5 sob ali veè;4 osebe;154
Piran/Pirano;5 sob ali veè;5 oseb;106
Piran/Pirano;5 sob ali veè;6 oseb;78
Piran/Pirano;5 sob ali veè;7 oseb ali veè;93
Pivka;Število sob - SKUPAJ;Število oseb -SKUPAJ;1981
Pivka;Število sob - SKUPAJ;1 oseba;452
Pivka;Število sob - SKUPAJ;2 osebi;423
Pivka;Število sob - SKUPAJ;3 osebe;363
Pivka;Število sob - SKUPAJ;4 osebe;368
Pivka;Število sob - SKUPAJ;5 oseb;192
Pivka;Število sob - SKUPAJ;6 oseb;118
Pivka;Število sob - SKUPAJ;7 oseb ali veè;65
Pivka;1 soba;Število oseb -SKUPAJ;108
Pivka;1 soba;1 oseba;57
Pivka;1 soba;2 osebi;18
Pivka;1 soba;3 osebe;13
Pivka;1 soba;4 osebe;15
Pivka;1 soba;5 oseb;3
Pivka;1 soba;6 oseb;1
Pivka;1 soba;7 oseb ali veè;1
Pivka;2 sobi;Število oseb -SKUPAJ;437
Pivka;2 sobi;1 oseba;138
Pivka;2 sobi;2 osebi;111
Pivka;2 sobi;3 osebe;76
Pivka;2 sobi;4 osebe;70
Pivka;2 sobi;5 oseb;17
Pivka;2 sobi;6 oseb;18
Pivka;2 sobi;7 oseb ali veè;7
Pivka;3 sobe;Število oseb -SKUPAJ;610
Pivka;3 sobe;1 oseba;156
Pivka;3 sobe;2 osebi;143
Pivka;3 sobe;3 osebe;120
Pivka;3 sobe;4 osebe;102
Pivka;3 sobe;5 oseb;52
Pivka;3 sobe;6 oseb;17
Pivka;3 sobe;7 oseb ali veè;20
Pivka;4 sobe;Število oseb -SKUPAJ;404
Pivka;4 sobe;1 oseba;67
Pivka;4 sobe;2 osebi;81
Pivka;4 sobe;3 osebe;82
Pivka;4 sobe;4 osebe;82
Pivka;4 sobe;5 oseb;50
Pivka;4 sobe;6 oseb;28
Pivka;4 sobe;7 oseb ali veè;14
Pivka;5 sob ali veè;Število oseb -SKUPAJ;422
Pivka;5 sob ali veè;1 oseba;34
Pivka;5 sob ali veè;2 osebi;70
Pivka;5 sob ali veè;3 osebe;72
Pivka;5 sob ali veè;4 osebe;99
Pivka;5 sob ali veè;5 oseb;70
Pivka;5 sob ali veè;6 oseb;54
Pivka;5 sob ali veè;7 oseb ali veè;23
Podèetrtek;Število sob - SKUPAJ;Število oseb -SKUPAJ;1052
Podèetrtek;Število sob - SKUPAJ;1 oseba;249
Podèetrtek;Število sob - SKUPAJ;2 osebi;215
Podèetrtek;Število sob - SKUPAJ;3 osebe;188
Podèetrtek;Število sob - SKUPAJ;4 osebe;167
Podèetrtek;Število sob - SKUPAJ;5 oseb;111
Podèetrtek;Število sob - SKUPAJ;6 oseb;69
Podèetrtek;Število sob - SKUPAJ;7 oseb ali veè;53
Podèetrtek;1 soba;Število oseb -SKUPAJ;69
Podèetrtek;1 soba;1 oseba;37
Podèetrtek;1 soba;2 osebi;16
Podèetrtek;1 soba;3 osebe;10
Podèetrtek;1 soba;4 osebe;2
Podèetrtek;1 soba;5 oseb;0
Podèetrtek;1 soba;6 oseb;3
Podèetrtek;1 soba;7 oseb ali veè;1
Podèetrtek;2 sobi;Število oseb -SKUPAJ;218
Podèetrtek;2 sobi;1 oseba;89
Podèetrtek;2 sobi;2 osebi;52
Podèetrtek;2 sobi;3 osebe;27
Podèetrtek;2 sobi;4 osebe;28
Podèetrtek;2 sobi;5 oseb;14
Podèetrtek;2 sobi;6 oseb;5
Podèetrtek;2 sobi;7 oseb ali veè;3
Podèetrtek;3 sobe;Število oseb -SKUPAJ;320
Podèetrtek;3 sobe;1 oseba;71
Podèetrtek;3 sobe;2 osebi;71
Podèetrtek;3 sobe;3 osebe;67
Podèetrtek;3 sobe;4 osebe;60
Podèetrtek;3 sobe;5 oseb;21
Podèetrtek;3 sobe;6 oseb;19
Podèetrtek;3 sobe;7 oseb ali veè;11
Podèetrtek;4 sobe;Število oseb -SKUPAJ;206
Podèetrtek;4 sobe;1 oseba;31
Podèetrtek;4 sobe;2 osebi;42
Podèetrtek;4 sobe;3 osebe;41
Podèetrtek;4 sobe;4 osebe;36
Podèetrtek;4 sobe;5 oseb;27
Podèetrtek;4 sobe;6 oseb;15
Podèetrtek;4 sobe;7 oseb ali veè;14
Podèetrtek;5 sob ali veè;Število oseb -SKUPAJ;239
Podèetrtek;5 sob ali veè;1 oseba;21
Podèetrtek;5 sob ali veè;2 osebi;34
Podèetrtek;5 sob ali veè;3 osebe;43
Podèetrtek;5 sob ali veè;4 osebe;41
Podèetrtek;5 sob ali veè;5 oseb;49
Podèetrtek;5 sob ali veè;6 oseb;27
Podèetrtek;5 sob ali veè;7 oseb ali veè;24
Podlehnik;Število sob - SKUPAJ;Število oseb -SKUPAJ;637
Podlehnik;Število sob - SKUPAJ;1 oseba;166
Podlehnik;Število sob - SKUPAJ;2 osebi;146
Podlehnik;Število sob - SKUPAJ;3 osebe;124
Podlehnik;Število sob - SKUPAJ;4 osebe;105
Podlehnik;Število sob - SKUPAJ;5 oseb;56
Podlehnik;Število sob - SKUPAJ;6 oseb;22
Podlehnik;Število sob - SKUPAJ;7 oseb ali veè;18
Podlehnik;1 soba;Število oseb -SKUPAJ;90
Podlehnik;1 soba;1 oseba;51
Podlehnik;1 soba;2 osebi;17
Podlehnik;1 soba;3 osebe;12
Podlehnik;1 soba;4 osebe;6
Podlehnik;1 soba;5 oseb;1
Podlehnik;1 soba;6 oseb;0
Podlehnik;1 soba;7 oseb ali veè;3
Podlehnik;2 sobi;Število oseb -SKUPAJ;218
Podlehnik;2 sobi;1 oseba;72
Podlehnik;2 sobi;2 osebi;68
Podlehnik;2 sobi;3 osebe;31
Podlehnik;2 sobi;4 osebe;23
Podlehnik;2 sobi;5 oseb;14
Podlehnik;2 sobi;6 oseb;7
Podlehnik;2 sobi;7 oseb ali veè;3
Podlehnik;3 sobe;Število oseb -SKUPAJ;197
Podlehnik;3 sobe;1 oseba;32
Podlehnik;3 sobe;2 osebi;48
Podlehnik;3 sobe;3 osebe;53
Podlehnik;3 sobe;4 osebe;35
Podlehnik;3 sobe;5 oseb;18
Podlehnik;3 sobe;6 oseb;6
Podlehnik;3 sobe;7 oseb ali veè;5
Podlehnik;4 sobe;Število oseb -SKUPAJ;71
Podlehnik;4 sobe;1 oseba;5
Podlehnik;4 sobe;2 osebi;9
Podlehnik;4 sobe;3 osebe;19
Podlehnik;4 sobe;4 osebe;21
Podlehnik;4 sobe;5 oseb;12
Podlehnik;4 sobe;6 oseb;3
Podlehnik;4 sobe;7 oseb ali veè;2
Podlehnik;5 sob ali veè;Število oseb -SKUPAJ;61
Podlehnik;5 sob ali veè;1 oseba;6
Podlehnik;5 sob ali veè;2 osebi;4
Podlehnik;5 sob ali veè;3 osebe;9
Podlehnik;5 sob ali veè;4 osebe;20
Podlehnik;5 sob ali veè;5 oseb;11
Podlehnik;5 sob ali veè;6 oseb;6
Podlehnik;5 sob ali veè;7 oseb ali veè;5
Podvelka;Število sob - SKUPAJ;Število oseb -SKUPAJ;798
Podvelka;Število sob - SKUPAJ;1 oseba;180
Podvelka;Število sob - SKUPAJ;2 osebi;201
Podvelka;Število sob - SKUPAJ;3 osebe;150
Podvelka;Število sob - SKUPAJ;4 osebe;107
Podvelka;Število sob - SKUPAJ;5 oseb;77
Podvelka;Število sob - SKUPAJ;6 oseb;52
Podvelka;Število sob - SKUPAJ;7 oseb ali veè;31
Podvelka;1 soba;Število oseb -SKUPAJ;86
Podvelka;1 soba;1 oseba;40
Podvelka;1 soba;2 osebi;23
Podvelka;1 soba;3 osebe;12
Podvelka;1 soba;4 osebe;3
Podvelka;1 soba;5 oseb;5
Podvelka;1 soba;6 oseb;2
Podvelka;1 soba;7 oseb ali veè;1
Podvelka;2 sobi;Število oseb -SKUPAJ;222
Podvelka;2 sobi;1 oseba;70
Podvelka;2 sobi;2 osebi;62
Podvelka;2 sobi;3 osebe;39
Podvelka;2 sobi;4 osebe;25
Podvelka;2 sobi;5 oseb;17
Podvelka;2 sobi;6 oseb;5
Podvelka;2 sobi;7 oseb ali veè;4
Podvelka;3 sobe;Število oseb -SKUPAJ;198
Podvelka;3 sobe;1 oseba;41
Podvelka;3 sobe;2 osebi;52
Podvelka;3 sobe;3 osebe;49
Podvelka;3 sobe;4 osebe;31
Podvelka;3 sobe;5 oseb;17
Podvelka;3 sobe;6 oseb;6
Podvelka;3 sobe;7 oseb ali veè;2
Podvelka;4 sobe;Število oseb -SKUPAJ;148
Podvelka;4 sobe;1 oseba;15
Podvelka;4 sobe;2 osebi;46
Podvelka;4 sobe;3 osebe;32
Podvelka;4 sobe;4 osebe;19
Podvelka;4 sobe;5 oseb;17
Podvelka;4 sobe;6 oseb;10
Podvelka;4 sobe;7 oseb ali veè;9
Podvelka;5 sob ali veè;Število oseb -SKUPAJ;144
Podvelka;5 sob ali veè;1 oseba;14
Podvelka;5 sob ali veè;2 osebi;18
Podvelka;5 sob ali veè;3 osebe;18
Podvelka;5 sob ali veè;4 osebe;29
Podvelka;5 sob ali veè;5 oseb;21
Podvelka;5 sob ali veè;6 oseb;29
Podvelka;5 sob ali veè;7 oseb ali veè;15
Poljèane;Število sob - SKUPAJ;Število oseb -SKUPAJ;1404
Poljèane;Število sob - SKUPAJ;1 oseba;312
Poljèane;Število sob - SKUPAJ;2 osebi;332
Poljèane;Število sob - SKUPAJ;3 osebe;254
Poljèane;Število sob - SKUPAJ;4 osebe;262
Poljèane;Število sob - SKUPAJ;5 oseb;123
Poljèane;Število sob - SKUPAJ;6 oseb;80
Poljèane;Število sob - SKUPAJ;7 oseb ali veè;41
Poljèane;1 soba;Število oseb -SKUPAJ;116
Poljèane;1 soba;1 oseba;60
Poljèane;1 soba;2 osebi;34
Poljèane;1 soba;3 osebe;9
Poljèane;1 soba;4 osebe;9
Poljèane;1 soba;5 oseb;2
Poljèane;1 soba;6 oseb;1
Poljèane;1 soba;7 oseb ali veè;1
Poljèane;2 sobi;Število oseb -SKUPAJ;399
Poljèane;2 sobi;1 oseba;124
Poljèane;2 sobi;2 osebi;108
Poljèane;2 sobi;3 osebe;78
Poljèane;2 sobi;4 osebe;49
Poljèane;2 sobi;5 oseb;23
Poljèane;2 sobi;6 oseb;12
Poljèane;2 sobi;7 oseb ali veè;5
Poljèane;3 sobe;Število oseb -SKUPAJ;399
Poljèane;3 sobe;1 oseba;72
Poljèane;3 sobe;2 osebi;96
Poljèane;3 sobe;3 osebe;89
Poljèane;3 sobe;4 osebe;80
Poljèane;3 sobe;5 oseb;38
Poljèane;3 sobe;6 oseb;16
Poljèane;3 sobe;7 oseb ali veè;8
Poljèane;4 sobe;Število oseb -SKUPAJ;301
Poljèane;4 sobe;1 oseba;42
Poljèane;4 sobe;2 osebi;63
Poljèane;4 sobe;3 osebe;49
Poljèane;4 sobe;4 osebe;83
Poljèane;4 sobe;5 oseb;24
Poljèane;4 sobe;6 oseb;28
Poljèane;4 sobe;7 oseb ali veè;12
Poljèane;5 sob ali veè;Število oseb -SKUPAJ;189
Poljèane;5 sob ali veè;1 oseba;14
Poljèane;5 sob ali veè;2 osebi;31
Poljèane;5 sob ali veè;3 osebe;29
Poljèane;5 sob ali veè;4 osebe;41
Poljèane;5 sob ali veè;5 oseb;36
Poljèane;5 sob ali veè;6 oseb;23
Poljèane;5 sob ali veè;7 oseb ali veè;15
Polzela;Število sob - SKUPAJ;Število oseb -SKUPAJ;1856
Polzela;Število sob - SKUPAJ;1 oseba;326
Polzela;Število sob - SKUPAJ;2 osebi;422
Polzela;Število sob - SKUPAJ;3 osebe;389
Polzela;Število sob - SKUPAJ;4 osebe;374
Polzela;Število sob - SKUPAJ;5 oseb;178
Polzela;Število sob - SKUPAJ;6 oseb;100
Polzela;Število sob - SKUPAJ;7 oseb ali veè;67
Polzela;1 soba;Število oseb -SKUPAJ;132
Polzela;1 soba;1 oseba;54
Polzela;1 soba;2 osebi;38
Polzela;1 soba;3 osebe;18
Polzela;1 soba;4 osebe;14
Polzela;1 soba;5 oseb;3
Polzela;1 soba;6 oseb;3
Polzela;1 soba;7 oseb ali veè;2
Polzela;2 sobi;Število oseb -SKUPAJ;351
Polzela;2 sobi;1 oseba;108
Polzela;2 sobi;2 osebi;108
Polzela;2 sobi;3 osebe;64
Polzela;2 sobi;4 osebe;44
Polzela;2 sobi;5 oseb;14
Polzela;2 sobi;6 oseb;8
Polzela;2 sobi;7 oseb ali veè;5
Polzela;3 sobe;Število oseb -SKUPAJ;456
Polzela;3 sobe;1 oseba;84
Polzela;3 sobe;2 osebi;111
Polzela;3 sobe;3 osebe;98
Polzela;3 sobe;4 osebe;91
Polzela;3 sobe;5 oseb;47
Polzela;3 sobe;6 oseb;17
Polzela;3 sobe;7 oseb ali veè;8
Polzela;4 sobe;Število oseb -SKUPAJ;406
Polzela;4 sobe;1 oseba;35
Polzela;4 sobe;2 osebi;88
Polzela;4 sobe;3 osebe;114
Polzela;4 sobe;4 osebe;100
Polzela;4 sobe;5 oseb;43
Polzela;4 sobe;6 oseb;18
Polzela;4 sobe;7 oseb ali veè;8
Polzela;5 sob ali veè;Število oseb -SKUPAJ;511
Polzela;5 sob ali veè;1 oseba;45
Polzela;5 sob ali veè;2 osebi;77
Polzela;5 sob ali veè;3 osebe;95
Polzela;5 sob ali veè;4 osebe;125
Polzela;5 sob ali veè;5 oseb;71
Polzela;5 sob ali veè;6 oseb;54
Polzela;5 sob ali veè;7 oseb ali veè;44
Postojna;Število sob - SKUPAJ;Število oseb -SKUPAJ;5395
Postojna;Število sob - SKUPAJ;1 oseba;1334
Postojna;Število sob - SKUPAJ;2 osebi;1277
Postojna;Število sob - SKUPAJ;3 osebe;1055
Postojna;Število sob - SKUPAJ;4 osebe;935
Postojna;Število sob - SKUPAJ;5 oseb;414
Postojna;Število sob - SKUPAJ;6 oseb;212
Postojna;Število sob - SKUPAJ;7 oseb ali veè;168
Postojna;1 soba;Število oseb -SKUPAJ;589
Postojna;1 soba;1 oseba;305
Postojna;1 soba;2 osebi;146
Postojna;1 soba;3 osebe;67
Postojna;1 soba;4 osebe;50
Postojna;1 soba;5 oseb;12
Postojna;1 soba;6 oseb;6
Postojna;1 soba;7 oseb ali veè;3
Postojna;2 sobi;Število oseb -SKUPAJ;1505
Postojna;2 sobi;1 oseba;484
Postojna;2 sobi;2 osebi;385
Postojna;2 sobi;3 osebe;284
Postojna;2 sobi;4 osebe;227
Postojna;2 sobi;5 oseb;77
Postojna;2 sobi;6 oseb;28
Postojna;2 sobi;7 oseb ali veè;20
Postojna;3 sobe;Število oseb -SKUPAJ;1593
Postojna;3 sobe;1 oseba;339
Postojna;3 sobe;2 osebi;447
Postojna;3 sobe;3 osebe;341
Postojna;3 sobe;4 osebe;274
Postojna;3 sobe;5 oseb;112
Postojna;3 sobe;6 oseb;38
Postojna;3 sobe;7 oseb ali veè;42
Postojna;4 sobe;Število oseb -SKUPAJ;872
Postojna;4 sobe;1 oseba;126
Postojna;4 sobe;2 osebi;183
Postojna;4 sobe;3 osebe;197
Postojna;4 sobe;4 osebe;210
Postojna;4 sobe;5 oseb;91
Postojna;4 sobe;6 oseb;39
Postojna;4 sobe;7 oseb ali veè;26
Postojna;5 sob ali veè;Število oseb -SKUPAJ;836
Postojna;5 sob ali veè;1 oseba;80
Postojna;5 sob ali veè;2 osebi;116
Postojna;5 sob ali veè;3 osebe;166
Postojna;5 sob ali veè;4 osebe;174
Postojna;5 sob ali veè;5 oseb;122
Postojna;5 sob ali veè;6 oseb;101
Postojna;5 sob ali veè;7 oseb ali veè;77
Prebold;Število sob - SKUPAJ;Število oseb -SKUPAJ;1616
Prebold;Število sob - SKUPAJ;1 oseba;332
Prebold;Število sob - SKUPAJ;2 osebi;401
Prebold;Število sob - SKUPAJ;3 osebe;334
Prebold;Število sob - SKUPAJ;4 osebe;268
Prebold;Število sob - SKUPAJ;5 oseb;140
Prebold;Število sob - SKUPAJ;6 oseb;81
Prebold;Število sob - SKUPAJ;7 oseb ali veè;60
Prebold;1 soba;Število oseb -SKUPAJ;161
Prebold;1 soba;1 oseba;80
Prebold;1 soba;2 osebi;37
Prebold;1 soba;3 osebe;25
Prebold;1 soba;4 osebe;9
Prebold;1 soba;5 oseb;8
Prebold;1 soba;6 oseb;1
Prebold;1 soba;7 oseb ali veè;1
Prebold;2 sobi;Število oseb -SKUPAJ;369
Prebold;2 sobi;1 oseba;117
Prebold;2 sobi;2 osebi;115
Prebold;2 sobi;3 osebe;66
Prebold;2 sobi;4 osebe;49
Prebold;2 sobi;5 oseb;13
Prebold;2 sobi;6 oseb;6
Prebold;2 sobi;7 oseb ali veè;3
Prebold;3 sobe;Število oseb -SKUPAJ;444
Prebold;3 sobe;1 oseba;73
Prebold;3 sobe;2 osebi;127
Prebold;3 sobe;3 osebe;107
Prebold;3 sobe;4 osebe;77
Prebold;3 sobe;5 oseb;34
Prebold;3 sobe;6 oseb;15
Prebold;3 sobe;7 oseb ali veè;11
Prebold;4 sobe;Število oseb -SKUPAJ;291
Prebold;4 sobe;1 oseba;32
Prebold;4 sobe;2 osebi;66
Prebold;4 sobe;3 osebe;66
Prebold;4 sobe;4 osebe;51
Prebold;4 sobe;5 oseb;35
Prebold;4 sobe;6 oseb;20
Prebold;4 sobe;7 oseb ali veè;21
Prebold;5 sob ali veè;Število oseb -SKUPAJ;351
Prebold;5 sob ali veè;1 oseba;30
Prebold;5 sob ali veè;2 osebi;56
Prebold;5 sob ali veè;3 osebe;70
Prebold;5 sob ali veè;4 osebe;82
Prebold;5 sob ali veè;5 oseb;50
Prebold;5 sob ali veè;6 oseb;39
Prebold;5 sob ali veè;7 oseb ali veè;24
Preddvor;Število sob - SKUPAJ;Število oseb -SKUPAJ;1019
Preddvor;Število sob - SKUPAJ;1 oseba;194
Preddvor;Število sob - SKUPAJ;2 osebi;204
Preddvor;Število sob - SKUPAJ;3 osebe;178
Preddvor;Število sob - SKUPAJ;4 osebe;193
Preddvor;Število sob - SKUPAJ;5 oseb;126
Preddvor;Število sob - SKUPAJ;6 oseb;65
Preddvor;Število sob - SKUPAJ;7 oseb ali veè;59
Preddvor;1 soba;Število oseb -SKUPAJ;33
Preddvor;1 soba;1 oseba;17
Preddvor;1 soba;2 osebi;8
Preddvor;1 soba;3 osebe;4
Preddvor;1 soba;4 osebe;3
Preddvor;1 soba;5 oseb;0
Preddvor;1 soba;6 oseb;0
Preddvor;1 soba;7 oseb ali veè;1
Preddvor;2 sobi;Število oseb -SKUPAJ;144
Preddvor;2 sobi;1 oseba;54
Preddvor;2 sobi;2 osebi;36
Preddvor;2 sobi;3 osebe;18
Preddvor;2 sobi;4 osebe;17
Preddvor;2 sobi;5 oseb;9
Preddvor;2 sobi;6 oseb;6
Preddvor;2 sobi;7 oseb ali veè;4
Preddvor;3 sobe;Število oseb -SKUPAJ;256
Preddvor;3 sobe;1 oseba;61
Preddvor;3 sobe;2 osebi;65
Preddvor;3 sobe;3 osebe;50
Preddvor;3 sobe;4 osebe;42
Preddvor;3 sobe;5 oseb;27
Preddvor;3 sobe;6 oseb;5
Preddvor;3 sobe;7 oseb ali veè;6
Preddvor;4 sobe;Število oseb -SKUPAJ;221
Preddvor;4 sobe;1 oseba;31
Preddvor;4 sobe;2 osebi;47
Preddvor;4 sobe;3 osebe;43
Preddvor;4 sobe;4 osebe;52
Preddvor;4 sobe;5 oseb;26
Preddvor;4 sobe;6 oseb;13
Preddvor;4 sobe;7 oseb ali veè;9
Preddvor;5 sob ali veè;Število oseb -SKUPAJ;365
Preddvor;5 sob ali veè;1 oseba;31
Preddvor;5 sob ali veè;2 osebi;48
Preddvor;5 sob ali veè;3 osebe;63
Preddvor;5 sob ali veè;4 osebe;79
Preddvor;5 sob ali veè;5 oseb;64
Preddvor;5 sob ali veè;6 oseb;41
Preddvor;5 sob ali veè;7 oseb ali veè;39
Prevalje;Število sob - SKUPAJ;Število oseb -SKUPAJ;2062
Prevalje;Število sob - SKUPAJ;1 oseba;422
Prevalje;Število sob - SKUPAJ;2 osebi;477
Prevalje;Število sob - SKUPAJ;3 osebe;401
Prevalje;Število sob - SKUPAJ;4 osebe;349
Prevalje;Število sob - SKUPAJ;5 oseb;167
Prevalje;Število sob - SKUPAJ;6 oseb;127
Prevalje;Število sob - SKUPAJ;7 oseb ali veè;119
Prevalje;1 soba;Število oseb -SKUPAJ;318
Prevalje;1 soba;1 oseba;176
Prevalje;1 soba;2 osebi;82
